"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-44 0.675003349885104 2 13 "GO:0006644" "phospholipid metabolic process" 0.999966420712303
-46 0.645432770189035 3 8 "GO:0006650;GO:0046486" "glycerolipid metabolic process" 0.999966420712303
-12 0.541819115656315 2 9 "GO:0006730" "one-carbon metabolic process" 0.999966420712303
11 0.444876224924997 4 20 "GO:0006732;GO:0051186" "cofactor metabolic process" 0.999966420712303
74 0.317346920465702 2 5 "GO:0006733" "oxidoreduction coenzyme metabolic process" 0.926227113796409
-3 0.50801588766884 7 5 "GO:0006749" "glutathione metabolic process" 0.999966420712303
-80 0.787977816838539 3 12 "GO:0006790" "sulfur compound metabolic process" 0.999966420712303
14 0.369379104613145 2 73 "GO:0006796;GO:0019637;GO:0006793" "phosphorus metabolic process" 0.997803295578366
-24 0.683808124563564 2 48 "GO:0006812;GO:0006811" "ion transport" 0.999966420712303
-81 0.715684360688726 3 6 "GO:0006869" "lipid transport" 0.999966420712303
-335 0.984780871644964 4 5 "GO:0006875;GO:0030003;GO:0006873" "cellular ion homeostasis" 0.999966420712303
99 0.0170050717824159 4 57 "GO:0006886" "intracellular protein transport" 0.306266926116729
-65 0.663952559989545 4 5 "GO:0006887" "exocytosis" 0.999966420712303
276 0.0375945373920845 3 5 "GO:0006897" "endocytosis" 0.411561251450188
201 0.0977540508559951 4 5 "GO:0006901" "vesicle coating" 0.697870170407285
-148 0.911330946119356 4 10 "GO:0006913;GO:0051169" "nuclear transport" 0.999966420712303
110 0.0342870088951774 2 34 "GO:0006950" "response to stress" 0.39620543612205
-7 0.518870350666761 2 5 "GO:0006955;GO:0002376" "immune response" 0.999966420712303
199 0.0648959333642302 3 7 "GO:0006979" "response to oxidative stress" 0.560905986916716
-72 0.929705139845633 2 53 "GO:0006996" "organelle organization" 0.999966420712303
33 0.401073993020038 2 7 "GO:0007005" "mitochondrion organization" 0.999966420712303
-100 0.909862431889198 2 22 "GO:0007010" "cytoskeleton organization" 0.999966420712303
145 0.0599743824534553 2 14 "GO:0007015" "actin filament organization" 0.5423770239269
38 0.227878415093462 2 49 "GO:0007017" "microtubule-based process" 0.831556321744563
55 0.221956366772755 3 24 "GO:0007018;GO:0006928" "cellular component movement" 0.824409362298804
-298 0.972935478771952 3 5 "GO:0007049" "cell cycle" 0.999966420712303
-203 0.924768570685189 3 6 "GO:0007050;GO:0045786" "cell cycle arrest" 0.999966420712303
-380 0.992950551534351 3 5 "GO:0007088;GO:0007346;GO:0051783" "regulation of mitosis" 0.999966420712303
-125 0.980790350072675 2 34 "GO:0007155;GO:0022610" "cell adhesion" 0.999966420712303
-57 0.71661532704404 4 12 "GO:0007156;GO:0098609" "homophilic cell adhesion" 0.999966420712303
34 0.289156885647098 2 33 "GO:0007166" "cell surface receptor signaling pathway" 0.88447988550877
22 0.442533632948229 3 5 "GO:0007167" "enzyme linked receptor protein signaling pathway" 0.999966420712303
209 0.0552365875890959 2 7 "GO:0007186" "G-protein coupled receptor signaling pathway" 0.522236828115089
-90 0.75292295370452 3 7 "GO:0007229" "integrin-mediated signaling pathway" 0.999966420712303
68 0.139263366482258 2 31 "GO:0007264" "small GTPase mediated signal transduction" 0.697870170407285
-111 0.802447687258489 2 7 "GO:0007275" "multicellular organismal development" 0.999966420712303
-192 0.928318827834584 3 7 "GO:0008299;GO:0006720" "isoprenoid biosynthetic process" 0.999966420712303
-71 0.86526516611154 2 30 "GO:0008610" "lipid biosynthetic process" 0.999966420712303
-83 0.80542433826031 5 13 "GO:0008652" "cellular amino acid biosynthetic process" 0.999966420712303
44 0.379332958335332 3 6 "GO:0008654" "phospholipid biosynthetic process" 0.999966420712303
-177 0.999884403506412 2 54 "GO:0009057" "macromolecule catabolic process" 0.999966420712303
-149 0.853856334387169 4 6 "GO:0009063" "cellular amino acid catabolic process" 0.999966420712303
-149 0.871918525057897 3 7 "GO:0009072" "aromatic amino acid family metabolic process" 0.999966420712303
-184 0.920028799296214 2 7 "GO:0009084;GO:0009064" "glutamine family amino acid metabolic process" 0.999966420712303
62 0.250940125063044 2 14 "GO:0009108;GO:0051188" "cofactor biosynthetic process" 0.846369658452029
292 0.0299366907567271 3 5 "GO:0009112" "nucleobase metabolic process" 0.386196208776476
60 0.107754420960612 4 54 "GO:0009117;GO:0006753;GO:0055086" "nucleobase-containing small molecule metabolic process" 0.697870170407285
70 0.140496812465847 2 29 "GO:0009119;GO:0009116;GO:1901657;GO:0046128;GO:0042278" "nucleoside metabolic process" 0.697870170407285
63 0.203045202122387 6 21 "GO:0009167;GO:0009126;GO:0009161;GO:0009123;GO:0009168;GO:0009127;GO:0009156;GO:0009124" "ribonucleoside monophosphate metabolic process" 0.824409362298804
150 0.0478564838219089 7 15 "GO:0009199;GO:0009141;GO:0009205;GO:0009144;GO:0046034" "purine ribonucleoside triphosphate metabolic process" 0.497707431747853
138 0.0938475647768657 6 11 "GO:0009201;GO:0009142;GO:0009206;GO:0009145;GO:0015986;GO:0006754;GO:0015985" "ribonucleoside triphosphate biosynthetic process" 0.697870170407285
28 0.320617077852603 6 33 "GO:0009259;GO:0019693;GO:1901137;GO:0006164;GO:0009150;GO:0006163;GO:0072522;GO:0072521" "purine-containing compound metabolic process" 0.926227113796409
41 0.280323110842376 3 24 "GO:0009260;GO:0046390;GO:0042455;GO:0009163;GO:1901659;GO:0009152;GO:0046129;GO:0042451" "ribonucleoside biosynthetic process" 0.883442531139609
6 0.483237404036377 3 6 "GO:0009311" "oligosaccharide metabolic process" 0.999966420712303
-182 0.880039998410735 2 5 "GO:0009451" "RNA modification" 0.999966420712303
114 0.177188353036011 2 8 "GO:0009605" "response to external stimulus" 0.784152711308304
-101 0.794600527643238 2 8 "GO:0009628" "response to abiotic stimulus" 0.999966420712303
-53 0.634649896472816 2 5 "GO:0009653" "anatomical structure morphogenesis" 0.999966420712303
-193 0.967091487827539 4 11 "GO:0009894" "regulation of catabolic process" 0.999966420712303
42 0.215594443345971 3 44 "GO:0009966;GO:0010646;GO:0023051;GO:0048583" "regulation of response to stimulus" 0.824409362298804
120 0.0978870798391069 4 14 "GO:0009968;GO:0010648;GO:0023057;GO:0048585" "negative regulation of signaling" 0.697870170407285
35 0.196913114642544 5 75 "GO:0010468;GO:2000112;GO:0060255;GO:0019222;GO:0010556;GO:0031326;GO:0009889;GO:0031323;GO:0080090" "regulation of metabolic process" 0.819158556912983
33 0.415562931731917 2 5 "GO:0010506" "regulation of autophagy" 0.999966420712303
-371 0.997670567473218 5 7 "GO:0010564;GO:0051302" "regulation of cell cycle process" 0.999966420712303
-20 0.626068402242178 5 33 "GO:0015672" "monovalent inorganic cation transport" 0.999966420712303
-21 0.599133776179548 4 18 "GO:0015991;GO:0015988" "energy coupled proton transmembrane transport, against electrochemical gradient" 0.999966420712303
36 0.138421451042012 2 121 "GO:0016043" "cellular component organization" 0.697870170407285
148 0.129695659344217 2 7 "GO:0016050" "vesicle organization" 0.697870170407285
-63 0.671256924282384 3 6 "GO:0016051" "carbohydrate biosynthetic process" 0.999966420712303
-60 0.964133808563976 3 119 "GO:0016070;GO:0090304" "nucleic acid metabolic process" 0.999966420712303
133 0.00603847166530408 2 44 "GO:0016192" "vesicle-mediated transport" 0.209333684397208
-108 0.795675057779785 4 7 "GO:0016197" "endosomal transport" 0.999966420712303
38 0.310017359578963 4 21 "GO:0016482" "cytoplasmic transport" 0.921194439891776
-248 0.978575508447357 3 8 "GO:0016568" "chromatin modification" 0.999966420712303
-155 0.842325621133201 5 5 "GO:0016570;GO:0016569" "histone modification" 0.999966420712303
-130 0.870359739118767 6 9 "GO:0018193" "peptidyl-amino acid modification" 0.999966420712303
173 0.0315641132173081 4 14 "GO:0019318;GO:0005996" "monosaccharide metabolic process" 0.386196208776476
-50 0.704901118632114 4 14 "GO:0019439;GO:1901361;GO:0044270;GO:0046700" "organic cyclic compound catabolic process" 0.999966420712303
-56 0.940733969598857 5 103 "GO:0019752;GO:0043436;GO:0006082" "carboxylic acid metabolic process" 0.999966420712303
-126 0.904848854331626 2 13 "GO:0022402" "cell cycle process" 0.999966420712303
20 0.422315109201534 3 12 "GO:0022904;GO:0022900" "electron transport chain" 0.999966420712303
-98 0.786928070078471 5 8 "GO:0030001" "metal ion transport" 0.999966420712303
-106 0.853996607384886 2 12 "GO:0030036;GO:0030029" "actin filament-based process" 0.999966420712303
-256 0.995999674199893 3 13 "GO:0030163" "protein catabolic process" 0.999966420712303
119 0.117413553165735 5 12 "GO:0030833;GO:0008064;GO:0032271;GO:0051493;GO:0030832;GO:0043254;GO:0032535;GO:0032956;GO:0090066;GO:0032970" "regulation of cytoskeleton organization" 0.697870170407285
155 0.136596498672545 5 6 "GO:0031324;GO:0009892" "negative regulation of metabolic process" 0.697870170407285
-47 0.640250873507418 2 7 "GO:0031329" "regulation of cellular catabolic process" 0.999966420712303
45 0.27184636209437 2 22 "GO:0032268;GO:0051246" "regulation of protein metabolic process" 0.869908358701984
-184 0.883122865952543 4 5 "GO:0032507;GO:0045185;GO:0051651;GO:0051235" "maintenance of protein location in cell" 0.999966420712303
58 0.32788561755155 3 7 "GO:0032940;GO:0046903" "secretion by cell" 0.932302852147143
-11 0.559389778257511 2 24 "GO:0033043;GO:0051128" "regulation of cellular component organization" 0.999966420712303
48 0.284851161023095 2 17 "GO:0033554" "cellular response to stress" 0.884314052131399
-156 0.86443734834933 2 6 "GO:0034470" "ncRNA processing" 0.999966420712303
104 0.0176496691246642 3 51 "GO:0034622;GO:0065003;GO:0022607" "cellular component assembly" 0.306266926116729
250 6.59751918215044e-15 2 127 "GO:0034645;GO:0009059" "macromolecule biosynthetic process" 6.86141994943646e-13
-14 0.64970272672045 3 100 "GO:0034654;GO:0018130;GO:0019438;GO:0044271;GO:1901362" "organic cyclic compound biosynthetic process" 0.999966420712303
-59 0.706244456562621 2 10 "GO:0034655" "nucleobase-containing compound catabolic process" 0.999966420712303
-63 0.727134059447784 2 11 "GO:0035023" "regulation of Rho protein signal transduction" 0.999966420712303
28 0.253672177544275 4 73 "GO:0035556" "intracellular signal transduction" 0.846369658452029
260 0.0169339663799863 4 8 "GO:0038032;GO:0023021;GO:0045744;GO:0008277" "regulation of G-protein coupled receptor protein signaling pathway" 0.306266926116729
123 0.192257889472657 1 6 "GO:0040011" "locomotion" 0.816115122659442
-464 0.998635086554936 2 5 "GO:0042176" "regulation of protein catabolic process" 0.999966420712303
-54 0.64782449380185 2 6 "GO:0042221" "response to chemical" 0.999966420712303
-121 0.865143638393786 2 10 "GO:0042254;GO:0022613;GO:0044085" "ribonucleoprotein complex biogenesis" 0.999966420712303
100 0.258637410620808 2 5 "GO:0042398" "cellular modified amino acid biosynthetic process" 0.846369658452029
-152 0.992805368879566 3 32 "GO:0042592;GO:0019725" "homeostatic process" 0.999966420712303
-481 0.99905859021448 5 5 "GO:0043161;GO:0010498" "proteasome-mediated ubiquitin-dependent protein catabolic process" 0.999966420712303
281 0.0235131096034873 4 6 "GO:0043244;GO:0051129" "regulation of protein complex disassembly" 0.375298134489164
-139 0.908190704898527 6 11 "GO:0043648" "dicarboxylic acid metabolic process" 0.999966420712303
129 0.00240378101049876 2 60 "GO:0043933;GO:0071822" "macromolecular complex subunit organization" 0.124996612545936
166 0.0279659421462508 3 16 "GO:0044087;GO:0051130" "regulation of cellular component biogenesis" 0.386196208776476
98 0.153845657355463 4 13 "GO:0044242;GO:0016042" "lipid catabolic process" 0.727270380225825
-108 0.993572629024492 2 67 "GO:0044248" "cellular catabolic process" 0.999966420712303
-67 0.932047495754976 2 62 "GO:0044255;GO:0006629" "lipid metabolic process" 0.999966420712303
2 0.494015081900915 3 9 "GO:0044262" "cellular carbohydrate metabolic process" 0.999966420712303
-140 0.816377613737243 3 5 "GO:0044272" "sulfur compound biosynthetic process" 0.999966420712303
-12 0.554868165321013 2 16 "GO:0044707;GO:0032501" "multicellular organismal process" 0.999966420712303
-25 0.746389230015162 3 90 "GO:0044711" "single-organism biosynthetic process" 0.999966420712303
77 0.0674165849659514 2 47 "GO:0044712" "single-organism catabolic process" 0.560905986916716
-23 0.687922873684489 2 56 "GO:0044723" "single-organism carbohydrate metabolic process" 0.999966420712303
96 0.110216360117146 4 20 "GO:0044724;GO:0016052;GO:0006096" "carbohydrate catabolic process" 0.697870170407285
-21 0.604076285004881 2 19 "GO:0044767;GO:0032502" "developmental process" 0.999966420712303
5 0.487847941954758 2 5 "GO:0044802" "single-organism membrane organization" 0.999966420712303
298 0.0176692457375036 6 6 "GO:0045010;GO:0030838;GO:0032273;GO:0051495;GO:0031334;GO:0010638;GO:0034314" "positive regulation of actin filament polymerization" 0.306266926116729
-9 0.522485795881047 2 5 "GO:0045017" "glycerolipid biosynthetic process" 0.999966420712303
62 0.0514783094365845 2 89 "GO:0045184;GO:0015031;GO:0071702" "organic substance transport" 0.509880398229027
-224 0.997497433501003 2 19 "GO:0045454" "cell redox homeostasis" 0.999966420712303
-72 0.866303612363691 2 29 "GO:0046394;GO:0016053;GO:0044283" "small molecule biosynthetic process" 0.999966420712303
-22 0.592087375935184 2 14 "GO:0046395;GO:0016054;GO:0044282" "small molecule catabolic process" 0.999966420712303
51 0.339788630879738 2 8 "GO:0046434" "organophosphate catabolic process" 0.942347136306473
-115 0.918698014041452 4 18 "GO:0046578" "regulation of Ras protein signal transduction" 0.999966420712303
239 0.0113695983085682 3 11 "GO:0048193" "Golgi vesicle transport" 0.306266926116729
-299 0.982739368543036 2 6 "GO:0048285" "organelle fission" 0.999966420712303
104 0.108180502375227 3 17 "GO:0048518;GO:0048522" "positive regulation of biological process" 0.697870170407285
70 0.128964023546115 2 32 "GO:0048523;GO:0048519" "negative regulation of biological process" 0.697870170407285
138 0.186738654524879 2 5 "GO:0048856" "anatomical structure development" 0.809200836274476
-24 0.573726665242655 3 7 "GO:0048869" "cellular developmental process" 0.999966420712303
-81 0.791367257958783 2 12 "GO:0048878" "chemical homeostasis" 0.999966420712303
69 0.298368349420265 3 7 "GO:0050790;GO:0019220;GO:0051174" "regulation of phosphate metabolic process" 0.8994292272379
-52 0.772804774629953 3 25 "GO:0051056;GO:1902531" "regulation of intracellular signal transduction" 0.999966420712303
51 0.238997176858486 5 24 "GO:0051258;GO:0043623" "cellular protein complex assembly" 0.842365834769202
-265 0.956422514501708 2 5 "GO:0051301" "cell division" 0.999966420712303
79 0.0252604513598476 2 78 "GO:0051649;GO:0046907" "establishment of localization in cell" 0.375298134489164
-38 0.597532048451298 1 5 "GO:0051704" "multi-organism process" 0.999966420712303
-241 0.998315283574422 2 18 "GO:0051726" "regulation of cell cycle" 0.999966420712303
-162 0.919399318607829 7 9 "GO:0055065;GO:0055080;GO:0050801" "cation homeostasis" 0.999966420712303
26 0.42603771498732 2 6 "GO:0055076;GO:0055072" "transition metal ion homeostasis" 0.999966420712303
-254 0.973900696147436 3 7 "GO:0055082" "cellular chemical homeostasis" 0.999966420712303
-14 0.630904660546371 3 72 "GO:0055085" "transmembrane transport" 0.999966420712303
23 0.368498220170624 2 26 "GO:0055114" "oxidation-reduction process" 0.997803295578366
84 0.260421433369855 3 7 "GO:0061024" "membrane organization" 0.846369658452029
120 0.219671626168243 2 5 "GO:0061025" "membrane fusion" 0.824409362298804
-44 0.809436660356207 2 49 "GO:0065008" "regulation of biological quality" 0.999966420712303
95 0.219389204210396 2 8 "GO:0065009" "regulation of molecular function" 0.824409362298804
82 0.240368153430245 2 9 "GO:0072594" "establishment of protein localization to organelle" 0.842365834769202
165 0.143146475972252 2 5 "GO:0090150" "establishment of protein localization to membrane" 0.697870170407285
8 0.425055346586662 3 77 "GO:1901135" "carbohydrate derivative metabolic process" 0.999966420712303
-199 0.957324767847517 2 9 "GO:1901136" "carbohydrate derivative catabolic process" 0.999966420712303
62 0.143332649516284 3 37 "GO:1901293;GO:0090407;GO:0009165" "organophosphate biosynthetic process" 0.697870170407285
-131 0.927965585058961 2 15 "GO:1901565" "organonitrogen compound catabolic process" 0.999966420712303
22 0.331684668552349 2 50 "GO:1901566" "organonitrogen compound biosynthetic process" 0.932302852147143
-62 0.960202537250986 3 104 "GO:1901575;GO:0009056" "catabolic process" 0.999966420712303
-58 0.754690612489201 3 17 "GO:1901605" "alpha-amino acid metabolic process" 0.999966420712303
-77 0.746494453668339 2 9 "GO:1901607" "alpha-amino acid biosynthetic process" 0.999966420712303
184 0.00111281786232743 2 34 "GO:1902582" "single-organism intracellular transport" 0.0771553717880352
-104 0.958374857454771 2 34 "GO:1902589" "single-organism organelle organization" 0.999966420712303
-8 0.547075990999803 2 29 "GO:1902600;GO:0015992;GO:0034220;GO:0006818" "proton transport" 0.999966420712303
